STA_SEQ,SAMPLE,SAMPLE_YEAR,SAMPLE_METHOD,METRIC,METRIC_VALUE,DATA_USE_FLAG,COMMENT_BUG,COMMENT_FISH
14221,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
16881,BUG,2015,KickNet2M2,BUG_BCG,4,1,BCG Mem = 0.5,
14414,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14414,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14413,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14413,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
15479,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14605,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
14226,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
15201,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14308,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
15013,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
15886,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
14251,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 0.85,
14254,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 0.82,
14254,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 0.86,
15004,BUG,2016,KickNet2M2,BUG_BCG,5,1,BCG Mem = 0.62,
16076,BUG,2015,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
16076,BUG,2016,KickNet2M2,BUG_BCG,4,1,BCG Mem = 0.73,
16599,BUG,2015,KickNet2M2,BUG_BCG,2,1,BCG Mem = 0.5,
16984,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
18876,BUG,2015,KickNet2M2,BUG_BCG,4,1,BCG Mem = 0.5,
14880,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
14520,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14523,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
19019,BUG,2016,KickNet2M2,BUG_BCG,2,0,BCG Mem = 1,
14439,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
14804,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
15043,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
15529,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
15581,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
14172,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
14409,BUG,2016,KickNet2M2,BUG_BCG,4,1,BCG Mem = 0.62,
14186,BUG,2016,KickNet2M2,BUG_BCG,3,1,BCG Mem = 0.65,
15994,BUG,2016,KickNet2M2,BUG_BCG,2,0,BCG Mem = 0.81,
15102,BUG,2016,KickNet2M2,BUG_BCG,5,1,BCG Mem = 0.63,
14195,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 0.78,
16268,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
18882,BUG,2015,KickNet2M2,BUG_BCG,4,0,BCG Mem = 0.93,
14687,BUG,2016,KickNet2M2,BUG_BCG,5,1,BCG Mem = 0.52,
14686,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14813,BUG,2016,KickNet2M2,BUG_BCG,3,1,BCG Mem = 0.5,
14247,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 0.78,
16124,BUG,2015,KickNet2M2,BUG_BCG,2,0,BCG Mem = 1,
16124,BUG,2016,KickNet2M2,BUG_BCG,2,1,BCG Mem = 0.5,
16139,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
16139,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
14471,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
17342,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14488,BUG,2016,KickNet2M2,BUG_BCG,3,1,BCG Mem = 0.5,
14183,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
14458,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14450,BUG,2015,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
14450,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
16254,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
16254,BUG,2015,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
18884,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
18875,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 0.81,
19020,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
17181,BUG,2015,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
14128,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
18881,BUG,2015,KickNet2M2,BUG_BCG,3,1,BCG Mem = 0.5,
18429,BUG,2015,KickNet2M2,BUG_BCG,2,1,BCG Mem = 0.5,
14404,BUG,2015,KickNet2M2,BUG_BCG,5,1,BCG Mem = 0.63,
14404,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 0.85,
16333,BUG,2016,KickNet2M2,BUG_BCG,4,1,BCG Mem = 0.56,
19049,BUG,2016,KickNet2M2,BUG_BCG,5,1,BCG Mem = 0.54,
19120,BUG,2016,KickNet2M2,BUG_BCG,5,1,BCG Mem = 0.53,
19121,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
14355,BUG,2016,KickNet2M2,BUG_BCG,4,1,BCG Mem = 0.62,
16335,BUG,2015,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
16335,BUG,2016,KickNet2M2,BUG_BCG,4,1,BCG Mem = 0.53,
16431,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
15530,BUG,2015,KickNet2M2,BUG_BCG,4,1,BCG Mem = 0.58,
15530,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
16022,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 0.9,
18874,BUG,2015,KickNet2M2,BUG_BCG,4,0,BCG Mem = 0.87,
14711,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14712,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
14317,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
18931,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14316,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14319,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14825,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
15993,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
16049,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14341,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
16191,BUG,2015,KickNet2M2,BUG_BCG,2,0,BCG Mem = 1,
16127,BUG,2015,KickNet2M2,BUG_BCG,2,0,BCG Mem = 1,
16127,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 0.85,
14482,BUG,2016,KickNet2M2,BUG_BCG,4,1,BCG Mem = 0.5,
14179,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
18883,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
15035,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 0.76,
18903,BUG,2015,KickNet2M2,BUG_BCG,4,1,BCG Mem = 0.67,
15531,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
18877,BUG,2015,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
16972,BUG,2015,KickNet2M2,BUG_BCG,2,0,BCG Mem = 1,
19017,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14456,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14800,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14209,BUG,2016,KickNet2M2,BUG_BCG,4,1,BCG Mem = 0.61,
19018,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14129,BUG,2015,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
14129,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
14280,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 0.75,
14394,BUG,2016,KickNet2M2,BUG_BCG,5,1,BCG Mem = 0.63,
16141,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
15858,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 0.76,
15357,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14445,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
18935,BUG,2015,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
14444,BUG,2015,KickNet2M2,BUG_BCG,4,1,BCG Mem = 0.72,
14444,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
16428,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
16261,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
14361,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14555,BUG,2016,KickNet2M2,BUG_BCG,5,1,BCG Mem = 0.51,
14370,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14553,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14360,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
16588,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
16583,BUG,2015,KickNet2M2,BUG_BCG,3,1,BCG Mem = 0.74,
18463,BUG,2015,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
14358,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
19026,BUG,2016,KickNet2M2,BUG_BCG,5,0,BCG Mem = 1,
15239,BUG,2016,KickNet2M2,BUG_BCG,4,0,BCG Mem = 1,
14740,BUG,2016,KickNet2M2,BUG_BCG,3,0,BCG Mem = 1,
14741,BUG,2016,KickNet2M2,BUG_BCG,3,1,BCG Mem = 0.5,
19724,FISH,2016,1PassAllSpecies,FISH_BCG,2,1,,Sample length <85m BCG Mem = 0.88 
17215,FISH,2016,1PassAllSpecies,FISH_BCG,3,0,,BCG Mem = 1 
16479,FISH,2016,1PassAllSpecies,FISH_BCG,6,1,,<20 fish (not dry) BCG Mem = 1 
16960,FISH,2016,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m; <20 fish (not dry) BCG Mem = 1 
17118,FISH,2015,1PassAllSpecies,FISH_BCG,6,1,,Sample length <85m; <20 fish (not dry) BCG Mem = 1 
16787,FISH,2016,1PassAllSpecies,FISH_BCG,3,0,,BCG Mem = 1 
19063,FISH,2016,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m; <20 fish (not dry) BCG Mem = 1 
19064,FISH,2016,1PassAllSpecies,FISH_BCG,1,1,,Sample length <85m; <20 fish (not dry) BCG Mem = 1 
19067,FISH,2016,1PassAllSpecies,FISH_BCG,4,1,,Sample length <85m BCG Mem = 1 
19069,FISH,2016,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m BCG Mem = 1 
19068,FISH,2016,1PassAllSpecies,FISH_BCG,2,1,,Sample length <85m; <20 fish (not dry) BCG Mem = 1 
17466,FISH,2016,1PassAllSpecies,FISH_BCG,4,0,,BCG Mem = 1 
16497,FISH,2015,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m; <20 fish (not dry) BCG Mem = 1 
16548,FISH,2016,1PassAllSpecies,FISH_BCG,3,1,,Sample length <85m BCG Mem = 1 
17177,FISH,2015,1PassAllSpecies,FISH_BCG,5,1,,Tier membership <75% BCG Mem = 0.67 
18895,FISH,2015,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m; <20 fish (not dry); <0.45 mi2 BCG Mem = 1 
19101,FISH,2016,1PassAllSpecies,FISH_BCG,3,0,,BCG Mem = 0.75 
19100,FISH,2016,1PassAllSpecies,FISH_BCG,3,1,,Sample length <85m BCG Mem = 1 
19102,FISH,2016,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m BCG Mem = 1 
17011,FISH,2015,1PassAllSpecies,FISH_BCG,5,1,,No length recorded BCG Mem = 1 
17850,FISH,2015,1PassAllSpecies,FISH_BCG,1,1,,<20 fish (not dry) BCG Mem = 1 
16551,FISH,2015,1PassAllSpecies,FISH_BCG,2,0,,BCG Mem = 1 
16814,FISH,2015,1PassAllSpecies,FISH_BCG,5,0,,BCG Mem = 1 
16985,FISH,2015,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m BCG Mem = 0.83 
17092,FISH,2015,1PassAllSpecies,FISH_BCG,2,0,,BCG Mem = 1 
16521,FISH,2015,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m BCG Mem = 1 
19114,FISH,2016,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m; <20 fish (not dry); <0.45 mi2 BCG Mem = 1 
18738,FISH,2016,1PassAllSpecies,FISH_BCG,3,0,,BCG Mem = 0.99 
19113,FISH,2016,1PassAllSpecies,FISH_BCG,3,1,,Sample length <85m; <0.45 mi2 BCG Mem = 0.9 
19076,FISH,2016,1PassAllSpecies,FISH_BCG,3,1,,Sample length <85m BCG Mem = 1 
16614,FISH,2016,1PassAllSpecies,FISH_BCG,4,0,,BCG Mem = 1 
19084,FISH,2016,1PassAllSpecies,FISH_BCG,1,1,,Sample length <85m BCG Mem = 1 Likely Same segment
19085,FISH,2016,1PassAllSpecies,FISH_BCG,1,1,,Sample length <85m; <20 fish (not dry) BCG Mem = 1 Likely Same segment
19082,FISH,2016,1PassAllSpecies,FISH_BCG,1,1,,Sample length <85m; <0.45 mi2 BCG Mem = 1 Likely Same segment
19078,FISH,2016,1PassAllSpecies,FISH_BCG,1,1,,Sample length <85m; <20 fish (not dry); <0.45 mi2 BCG Mem = 1 Likely Same segment
19083,FISH,2016,1PassAllSpecies,FISH_BCG,1,1,,Sample length <85m BCG Mem = 1 Likely Same segment
19083,FISH,2016,1PassAllSpecies,FISH_BCG,2,1,,Sample length <85m BCG Mem = 1 Likely Same segment
19077,FISH,2016,1PassAllSpecies,FISH_BCG,1,1,,Sample length <85m; <20 fish (not dry) BCG Mem = 1 Likely Same segment
16607,FISH,2015,1PassAllSpecies,FISH_BCG,5,1,,<20 fish (not dry) BCG Mem = 1 
19862,FISH,2016,1PassAllSpecies,FISH_BCG,4,1,,Sample length <85m; Tier membership <75% BCG Mem = 0.5 
19863,FISH,2016,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m BCG Mem = 1 
17896,FISH,2015,1PassAllSpecies,FISH_BCG,3,0,,BCG Mem = 1 
19066,FISH,2016,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m; <20 fish (not dry); tier membership <75% BCG Mem = 0.5 
19071,FISH,2016,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m; <20 fish (not dry) BCG Mem = 1 
19065,FISH,2016,1PassAllSpecies,FISH_BCG,4,0,,BCG Mem = 1 
19126,FISH,2016,1PassAllSpecies,FISH_BCG,3,1,,Sample length <85m BCG Mem = 0.83 
19127,FISH,2016,1PassAllSpecies,FISH_BCG,4,1,,Sample length <85m BCG Mem = 1 
16605,FISH,2015,1PassAllSpecies,FISH_BCG,6,1,,<20 fish (not dry) BCG Mem = 1 
19861,FISH,2016,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m; <20 fish (not dry) BCG Mem = 1 
17936,FISH,2015,1PassAllSpecies,FISH_BCG,3,0,,BCG Mem = 0.75 
18891,FISH,2015,1PassAllSpecies,FISH_BCG,3,0,,BCG Mem = 1 
15325,FISH,2015,1PassAllSpecies,FISH_BCG,3,1,,Sample length <85m BCG Mem = 1 
18890,FISH,2015,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m BCG Mem = 1 
18892,FISH,2015,1PassAllSpecies,FISH_BCG,3,1,,Sample length <85m BCG Mem = 0.75 
19685,FISH,2016,1PassAllSpecies,FISH_BCG,3,1,,Tier membership <75% BCG Mem = 0.72 
19686,FISH,2016,1PassAllSpecies,FISH_BCG,3,1,,Sample length <85m; Tier membership <75% BCG Mem = 0.69 ed/Brian 
19881,FISH,2016,1PassAllSpecies,FISH_BCG,1,1,,Sample length <85m BCG Mem = 1 Nice WBK stream in Windsor w/ Cattle fence?
19683,FISH,2016,1PassAllSpecies,FISH_BCG,1,1,,Sample length <85m; dry after 20m BCG Mem = 1 
19138,FISH,2015,1PassAllSpecies,FISH_BCG,3,0,,BCG Mem = 0.75 
19851,FISH,2016,1PassAllSpecies,FISH_BCG,1,1,,Sample length <85m BCG Mem = 1 
19870,FISH,2016,1PassAllSpecies,FISH_BCG,1,1,,Sample length <85m; <20 fish (not dry); <0.45 mi2; very low flow BCG Mem = 1 only 4 fish
19878,FISH,2016,1PassAllSpecies,FISH_BCG,5,0,,BCG Mem = 1 
17690,FISH,2016,1PassAllSpecies,FISH_BCG,4,0,,2016 WPLR Training sample BCG Mem = 1 
18901,FISH,2015,1PassAllSpecies,FISH_BCG,4,1,,Sample length <85m; <0.45 mi2 BCG Mem = 1 
18902,FISH,2015,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m; <0.45 mi2 BCG Mem = 1 
18900,FISH,2015,1PassAllSpecies,FISH_BCG,4,1,,Sample length <85m; <0.45 mi2 BCG Mem = 1 
19118,FISH,2016,1PassAllSpecies,FISH_BCG,3,1,,Sample length <85m; <20 fish (not dry) BCG Mem = 1 
19117,FISH,2016,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m; <20 fish (not dry); <0.45 mi2 BCG Mem = 1 
19042,FISH,2016,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m BCG Mem = 1 
19124,FISH,2016,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m BCG Mem = 1 
19111,FISH,2016,1PassAllSpecies,FISH_BCG,1,1,,Sample length <85m BCG Mem = 1 combine 2 and 100 M
19112,FISH,2016,1PassAllSpecies,FISH_BCG,1,1,,Sample length <85m BCG Mem = 1 combine 2 and 100 M
18826,FISH,2015,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m BCG Mem = 1 
18825,FISH,2015,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m; <20 fish (not dry) BCG Mem = 1 
16473,FISH,2015,1PassAllSpecies,FISH_BCG,6,1,,Sample length <85m; Tier membership <75% BCG Mem = 0.64 Pond species influence BCG
19129,FISH,2016,1PassAllSpecies,FISH_BCG,6,1,,<20 fish (not dry) BCG Mem = 1 
18918,FISH,2015,1PassAllSpecies,FISH_BCG,2,1,,Sample length >=200m; <0.45 mi2 BCG Mem = 1 33 fish in 200 meter and small watershed
16777,FISH,2015,1PassAllSpecies,FISH_BCG,3,1,,Sample length <85m BCG Mem = 1 
19934,FISH,2016,1PassAllSpecies,FISH_BCG,3,1,,Tier membership <75% BCG Mem = 0.5 
19725,FISH,2016,1PassAllSpecies,FISH_BCG,2,0,,BCG Mem = 1 
19722,FISH,2016,1PassAllSpecies,FISH_BCG,1,1,,Sample length <85m; <20 fish (not dry) BCG Mem = 1 
19721,FISH,2016,1PassAllSpecies,FISH_BCG,2,1,,Sample length <85m BCG Mem = 1 
19723,FISH,2016,1PassAllSpecies,FISH_BCG,1,1,,Sample length <85m; <20 fish (not dry) BCG Mem = 1 
19953,FISH,2016,1PassAllSpecies,FISH_BCG,2,1,,Sample length <85m BCG Mem = 1 
19954,FISH,2016,1PassAllSpecies,FISH_BCG,2,1,,Sample length <85m; <20 fish (not dry) BCG Mem = 1 
19734,FISH,2016,1PassAllSpecies,FISH_BCG,1,1,,Sample length >=200m; <0.45 mi2 BCG Mem = 1 
19728,FISH,2016,1PassAllSpecies,FISH_BCG,2,1,,Sample length <85m; <20 fish (not dry) BCG Mem = 1 
19727,FISH,2016,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m BCG Mem = 1 
16805,FISH,2015,1PassAllSpecies,FISH_BCG,5,0,,BCG Mem = 1 
16921,FISH,2015,1PassAllSpecies,FISH_BCG,4,0,,BCG Mem = 1 
16783,FISH,2015,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m BCG Mem = 1 
19175,FISH,2015,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m; <0.45 mi2 BCG Mem = 1 
16727,FISH,2015,1PassAllSpecies,FISH_BCG,5,1,,Sample length <85m; <20 fish (not dry) BCG Mem = 1 
